answerFile	experiment	item	condition	participant	ProContext	PerContext	PerContextShort	Context	ContextOriginal	contextFile	response	Contour	Country	Province	BirthYear	Born	Gender	corpusC	item.Prod	participant.Prod
contour_1072_1_1.wav	contPer2	28	2	1101	Intended Contradiction	Intended Implication	Implication	Intended Contradiction	Original Intended Contradiction	contRecord_3_1_3.wav	7	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	3	1954	Intended Contradiction	Intended Incredulity	Incredulity	Intended Contradiction	Original Intended Contradiction	contRecord_2_1_3.wav	2	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	1	1035	Intended Contradiction	Intended Contradiction	Contradiction	Intended Contradiction	Original Intended Contradiction	contRecord_1_1_3.wav	7	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	3	1948	Intended Contradiction	Intended Incredulity	Incredulity	Intended Contradiction	Original Intended Contradiction	contRecord_2_1_3.wav	8	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	3	1957	Intended Contradiction	Intended Incredulity	Incredulity	Intended Contradiction	Original Intended Contradiction	contRecord_2_1_3.wav	1	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	2	1955	Intended Contradiction	Intended Implication	Implication	Intended Contradiction	Original Intended Contradiction	contRecord_3_1_3.wav	6	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	1	1880	Intended Contradiction	Intended Contradiction	Contradiction	Intended Contradiction	Original Intended Contradiction	contRecord_1_1_3.wav	6	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	3	1362	Intended Contradiction	Intended Incredulity	Incredulity	Intended Contradiction	Original Intended Contradiction	contRecord_2_1_3.wav	3	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	1	1947	Intended Contradiction	Intended Contradiction	Contradiction	Intended Contradiction	Original Intended Contradiction	contRecord_1_1_3.wav	6	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	1	1953	Intended Contradiction	Intended Contradiction	Contradiction	Intended Contradiction	Original Intended Contradiction	contRecord_1_1_3.wav	7	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	1	1950	Intended Contradiction	Intended Contradiction	Contradiction	Intended Contradiction	Original Intended Contradiction	contRecord_1_1_3.wav	8	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	3	1951	Intended Contradiction	Intended Incredulity	Incredulity	Intended Contradiction	Original Intended Contradiction	contRecord_2_1_3.wav	1	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	2	1952	Intended Contradiction	Intended Implication	Implication	Intended Contradiction	Original Intended Contradiction	contRecord_3_1_3.wav	2	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	1	1956	Intended Contradiction	Intended Contradiction	Contradiction	Intended Contradiction	Original Intended Contradiction	contRecord_1_1_3.wav	7	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	2	1958	Intended Contradiction	Intended Implication	Implication	Intended Contradiction	Original Intended Contradiction	contRecord_3_1_3.wav	7	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_1.wav	contPer2	28	2	1949	Intended Contradiction	Intended Implication	Implication	Intended Contradiction	Original Intended Contradiction	contRecord_3_1_3.wav	7	Polarity Focus	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_2.wav	contPer3	69	2	1403	Intended Incredulity	Intended Incredulity	Incredulity	Intended Incredulity	Original Intended Incredulity	contRecord_2_1_3.wav	8	Yes/No Rise	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_2.wav	contPer3	69	3	1080	Intended Incredulity	Intended Implication	Implication	Intended Incredulity	Original Intended Incredulity	contRecord_3_1_3.wav	1	Yes/No Rise	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_2.wav	contPer3	69	3	1384	Intended Incredulity	Intended Implication	Implication	Intended Incredulity	Original Intended Incredulity	contRecord_3_1_3.wav	4	Yes/No Rise	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_2.wav	contPer3	69	2	1859	Intended Incredulity	Intended Incredulity	Incredulity	Intended Incredulity	Original Intended Incredulity	contRecord_2_1_3.wav	8	Yes/No Rise	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_2.wav	contPer3	69	2	1323	Intended Incredulity	Intended Incredulity	Incredulity	Intended Incredulity	Original Intended Incredulity	contRecord_2_1_3.wav	8	Yes/No Rise	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_2.wav	contPer3	69	3	1749	Intended Incredulity	Intended Implication	Implication	Intended Incredulity	Original Intended Incredulity	contRecord_3_1_3.wav	4	Yes/No Rise	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_2.wav	contPer3	69	2	1286	Intended Incredulity	Intended Incredulity	Incredulity	Intended Incredulity	Original Intended Incredulity	contRecord_2_1_3.wav	8	Yes/No Rise	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_2.wav	contPer3	69	3	1526	Intended Incredulity	Intended Implication	Implication	Intended Incredulity	Original Intended Incredulity	contRecord_3_1_3.wav	1	Yes/No Rise	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_2.wav	contPer3	69	2	503	Intended Incredulity	Intended Incredulity	Incredulity	Intended Incredulity	Original Intended Incredulity	contRecord_2_1_3.wav	6	Yes/No Rise	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_2.wav	contPer3	69	1	1113	Intended Incredulity	Intended Contradiction	Contradiction	Intended Incredulity	Original Intended Incredulity	contRecord_1_1_3.wav	1	Yes/No Rise	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_2.wav	contPer3	69	1	1734	Intended Incredulity	Intended Contradiction	Contradiction	Intended Incredulity	Original Intended Incredulity	contRecord_1_1_3.wav	8	Yes/No Rise	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_2.wav	contPer3	69	1	1556	Intended Incredulity	Intended Contradiction	Contradiction	Intended Incredulity	Original Intended Incredulity	contRecord_1_1_3.wav	2	Yes/No Rise	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_2.wav	contPer3	69	1	961	Intended Incredulity	Intended Contradiction	Contradiction	Intended Incredulity	Original Intended Incredulity	contRecord_1_1_3.wav	1	Yes/No Rise	US	MN	1993	1989	Female	Yes	1	1072
contour_1072_1_2.wav	contPer3	69	1	525	Intended Incredulity	Intended Contradiction	Contradiction	Intended Incredulity	Original Intended Incredulity	contRecord_1_1_3.wav	4	Yes/No Rise	US	MN	1993	1989	Female	Yes	1	1072
