participant	experiment	item	condition	setup	context	text	woi	contextFile	playlist	order	trialN	session	recordedFile	trialDuration	date	trialStart	trialEnd	Gender	BirthYear	Language	AudioCorpusConsent	Context	Contour	Prominence
1072	contour	2	3	You know your friend likes tea, and they serve tea in this place, so you want to suggest that that's something she could order, but you're not sure whether there is anything else that she could drink.	I don't like going to this place because there is nothing I drink that I can order there.	You drink tea	you_1 drink_2 tea_3	contRecord_3_2_3.wav	2	16	16	1	contour_1072_2_3.wav	38.1011	31-Oct-13	13:28:27	13:29:06	Female	1993	English	yes	Intended Implication	NA	Object
1072	contour	9	3	You know that your friend has a bike, and that she's just being lazy, so you want to suggest that she could in fact get there by bike, though you're not sure if there might be other options.	I can't join you because it starts after the metro stops running, and I have no way of getting there.	You have a bike	you_1 have_2 a bike_3	contRecord_3_9_3.wav	2	1	1	1	contour_1072_9_3.wav	43.5407	31-Oct-13	13:21:54	13:22:37	Female	1993	English	yes	Intended Implication	Fall	Object
1072	contour	2	2	Yesterday at Starbucks you recommended a tea to your friend to which she responded, Ew, I don't drink tea! So you know for a fact that she doesn't drink tea. So you're very surprised by what she says, and your answer should reflect that.	Oh wow I went to second cup yesterday and ordered the best tea.	You drink tea	you_1 drink_2 tea_3	contRecord_2_2_3.wav	2	27	27	1	contour_1072_2_2.wav	13.7155	31-Oct-13	13:32:40	13:32:54	Female	1993	English	yes	Intended Incredulity	Yes/No Rise	Object
1072	contour	7	3	You know that your friend is friends with Manuel, who just got a job at the concert venue a couple of weeks ago, and you want to suggest that he could help, even if you don't know for sure whether he could. 	The concert tonight is all sold out and I didn't get a ticket yet! I wish I knew someone who worked there who could get me in. 	You know Manuel	you_1 know_2 Manuel_3	contRecord_3_7_3.wav	2	19	19	1	contour_1072_7_3.wav	21.2926	31-Oct-13	13:29:50	13:30:12	Female	1993	English	yes	Intended Implication	RFR	Object
1072	contour	3	1	Your friend mentioned the other day that she wanted to buy a cat because she likes them. So you're very surprised by what she says, and your answer should reflect that.	I saw a stray cat the other day. Cats are such filthy creatures, I don't like them.	You like cats	you_1 like_2 cats_3	contRecord_1_3_3.wav	2	20	20	1	contour_1072_3_1.wav	16.2052	31-Oct-13	13:30:12	13:30:29	Female	1993	English	yes	Intended Contradiction	Polarity Focus	Verb
1072	contour	8	2	You know your friend really dislikes dancing and can't dance, or at least that's what she always said. So you're very surprised by what she says, and your answer should reflect that.	Matt asked me out for a dance, and I said awesome, now I just need to get a dress for the occasion.	You can dance	you_1 can_2 dance_3	contRecord_2_8_3.wav	2	21	21	1	contour_1072_8_2.wav	22.5743	31-Oct-13	13:30:31	13:30:53	Female	1993	English	yes	Intended Incredulity	Yes/No Rise	Object
1072	contour	9	1	You're surprised to hear this given that your friend has a bike in the basement of the dorm, or at least she did. So you're very surprised by what she says, and your answer should reflect that.	I can't join you today because you're going by bike, and I don't have one, so I'll just stay home.	You have a bike	you_1 have_2 a bike_3	contRecord_1_9_3.wav	2	22	22	1	contour_1072_9_1.wav	19.8846	31-Oct-13	13:30:54	13:31:14	Female	1993	English	yes	Intended Contradiction	Polarity Focus	Verb
1072	contour	5	2	Earlier today you made your friend promise not to go shopping without you because there is something you need to buy and you wanted to go with her. She promised she wouldn't, so you're very surprised by what she says, and your answer should reflect that.	Sorry I'm late, it took forever to get through check out at the store. Everyone is out shopping.	You went shopping	you_1 went_2 shopping_3	contRecord_2_5_3.wav	2	23	23	1	contour_1072_5_2.wav	23.2192	31-Oct-13	13:31:15	13:31:39	Female	1993	English	yes	Intended Incredulity	Yes/No Rise	Object
1072	contour	4	3	You know for a fact your friend loves cheese, and many of the dishes involve Swiss cheese, for example fondue. You want to suggest that at least she's going to be able to eat that, even if you're not sure whether there'll be many other things she'll like.	We're going to a Swiss restaurant, and I'm worried that there won't be much that I'd actually want to eat.	You eat cheese	you_1 eat_2 cheese_3	contRecord_3_4_3.wav	2	24	24	1	contour_1072_4_3.wav	16.2211	31-Oct-13	13:31:40	13:31:56	Female	1993	English	yes	Intended Implication	RFR	Object
1072	contour	1	3	You know your friend John is attending the party, and you're sure the person you're talking with knows and likes him, but you're not sure whether she'll like anyone else, and your answer should reflect that.	I don't feel like going to this party tonight, I have the feeling I might not like any of the people there.	You like John	you_1 like_2 john_3	contRecord_3_1_3.wav	2	25	25	1	contour_1072_1_3.wav	20.5478	31-Oct-13	13:31:57	13:32:18	Female	1993	English	yes	Intended Implication	RFR	Object
1072	contour	6	1	You know for a fact that your friend has some money because you just gave her ten dollars half an hour ago. So you're very surprised by what she says, and your answer should reflect that.	Mark was just asking me to repay him for the ticket, but I told him I don't have any money right now.	You have money	you_1 have_2 money_3	contRecord_1_6_3.wav	2	26	26	1	contour_1072_6_1.wav	19.1144	31-Oct-13	13:32:19	13:32:38	Female	1993	English	yes	Intended Contradiction	Polarity Focus	Verb
1072	contour	5	3	It's true that your friend hasn't had a very good day, but she did get to go shopping and you know she really enjoys doing that even if you're not sure whether she got to do anything else she liked. 	This day has turned out to be so lame, I just wanted to have fun, but I didn't get to do a single thing I liked. 	You went shopping	you_1 went_2 shopping_3	contRecord_3_5_3.wav	2	13	13	1	contour_1072_5_3.wav	28.7168	31-Oct-13	13:27:27	13:27:56	Female	1993	English	yes	Intended Implication	RFR	Object
1072	contour	7	1	You know for a fact that your friend knows Manuel because you are all in the same biology class together. So you're very surprised by what she says, and your answer should reflect that.	Jim was just asking me if I've seen Manuel, and I told him I don't know any Manuel.	You know Manuel	you_1 know_2 Manuel_3	contRecord_1_7_3.wav	2	14	14	1	contour_1072_7_1.wav	17.588	31-Oct-13	13:27:57	13:28:15	Female	1993	English	yes	Intended Contradiction	Polarity Focus	Verb
1072	contour	1	2	Just the other day your friend was bad-talking John, so you know for a fact that she doesn't like him.  So you're very surprised by what she says, and your answer should reflect that.	Yesterday Sarah kept saying mean things about John and I was really uncomfortable because John's a nice guy, I really like him.	You like John	you_1 like_2 john_3	contRecord_2_1_3.wav	2	2	2	1	contour_1072_1_2.wav	30.4692	31-Oct-13	13:22:42	13:23:13	Female	1993	English	yes	Intended Incredulity	Yes/No Rise	Object
1072	contour	3	2	Your friend hates coming to your house because you own a cat. You know for a fact that she dislikes cats. So you're very surprised by what she says, and your answer should reflect that.	Dylan just got a new kitten! I can't wait to go see it, I like cats.	You like cats	you_1 like_2 cats_3	contRecord_2_3_3.wav	2	17	17	1	contour_1072_3_2.wav	17.7399	31-Oct-13	13:29:06	13:29:24	Female	1993	English	yes	Intended Incredulity	Yes/No Rise	Object
1072	contour	4	1	You always orders pizza when you two hang out. You know for a fact that your friend eats cheese. So you're very surprised by what she says, and your answer should reflect that.	I don't like poutine because there's cheese on it! I don't eat cheese.	You eat cheese	you_1 eat_2 cheese_3	contRecord_1_4_3.wav	2	18	18	1	contour_1072_4_1.wav	23.4852	31-Oct-13	13:29:25	13:29:48	Female	1993	English	yes	Intended Contradiction	Contradiction Contour	Object
1072	contour	6	3	It's true that your friend has never responded to one of their letters, but it's a well known fact that she is very rich, and you want to suggest that this might be why they keep trying, even if you're not sure whether they might have other reasons.	I don't really know why this foundation keeps asking me for donations, they should know that I don't respond well to soliciting.	You have money	you_1 have_2 money_3	contRecord_3_6_3.wav	2	5	5	1	contour_1072_6_3.wav	43.2925	31-Oct-13	13:24:19	13:25:03	Female	1993	English	yes	Intended Implication	RFR	Object
1072	contour	5	1	You know for a fact that your friend went shopping yesterday because you were with her when she went to the mall. So you're very surprised by what she says, and your answer should reflect that.	Today my Mom told me I'm addicted to shopping, so I told her I didn't go shopping at all yesterday.	You went shopping	you_1 went_2 shopping_3	contRecord_1_5_3.wav	2	6	6	1	contour_1072_5_1.wav	20.206	31-Oct-13	13:25:04	13:25:24	Female	1993	English	yes	Intended Contradiction	Contradiction Contour	Object
1072	contour	3	3	Your friend always cuddles with your cat when she comes over. So you think she likes cats, but you're not sure whether there any other animals that she might like.	She asked what my favorite animal is, but I'm not really sure, I'm just not an animal person. 	You like cats	you_1 like_2 cats_3	contRecord_3_3_3.wav	2	7	7	1	contour_1072_3_3.wav	16.3187	31-Oct-13	13:25:27	13:25:43	Female	1993	English	yes	Intended Implication	RFR	Object
1072	contour	4	2	Your friend always picks the cheese off her pizza, so you know she doesn't eat cheese. So you're very surprised by what she says, and your answer should reflect that.	Ooh the triple cheese omelette looks good. I like cheese.	You eat cheese	you_1 eat_2 cheese_3	contRecord_2_4_3.wav	2	8	8	1	contour_1072_4_2.wav	15.213	31-Oct-13	13:25:44	13:25:59	Female	1993	English	yes	Intended Incredulity	Yes/No Rise	Object
